,cement,water,strength
0,540.0,162.0,79.98611076
1,540.0,162.0,61.887365759999994
7,380.0,228.0,36.447769788
8,266.0,228.0,45.854290856
9,475.0,228.0,39.28978986
11,198.6,192.0,28.021683592
14,304.0,228.0,47.813781648
21,139.6,192.0,28.23748958
28,427.5,228.0,37.427515183999994
36,237.5,228.0,30.079769451999997
59,332.5,228.0,33.019005639999996
68,190.0,228.0,40.856968808
69,485.0,146.0,71.98818916
116,374.0,170.1,61.09446836
117,313.3,175.5,59.79825348
118,425.0,153.5,60.2946762
119,425.0,151.4,61.797733879999996
120,375.0,126.6,56.69561148
121,475.0,181.1,68.29949256
122,469.0,137.8,66.89985628
123,425.0,153.5,60.2946762
124,388.6,157.9,50.69717028
125,531.3,141.8,56.3991368
126,425.0,153.5,60.2946762
127,318.8,155.7,55.495923239999996
128,401.8,147.4,68.4994406
129,362.6,164.9,71.29871315999999
130,323.7,183.8,74.69782984
131,379.5,153.9,52.20022796
132,362.6,164.9,71.29871315999999
133,286.3,144.7,67.69964844
134,362.6,164.9,71.29871315999999
135,439.0,186.0,65.99664272
136,389.9,145.9,74.4978818
137,362.6,164.9,71.29871315999999
138,337.9,174.9,49.89737812
186,222.36,189.29,24.8900836
191,233.81,197.89,22.83544512
196,194.68,165.62,25.72434956
201,190.68,162.14,26.40003604
206,212.07,180.31,24.90387312
211,229.97,195.47,24.483292759999998
216,190.34,161.85,28.46846404
221,166.09,176.46,21.53923024
226,167.95,121.75,24.24197616
231,213.72,181.71,45.70536404
236,213.76,181.74,40.2309246
241,229.68,195.23,24.53845084
246,238.05,186.66,30.2335226
251,250.0,187.42,29.21999288
256,212.52,159.32,31.640053639999998
261,212.57,159.35,37.404073
266,212.0,159.0,38.500339839999995
271,231.75,173.96,33.72916592
276,251.37,188.45,29.654362759999998
281,251.37,188.45,32.66047812
286,181.38,169.59,27.77209328
291,182.04,170.21,31.2677366
296,168.88,158.33,31.11605188
301,290.35,168.08,34.73580088
306,277.05,160.6,48.28400428
311,295.71,171.54,39.94134468
316,251.81,146.14,33.94290348
321,249.1,158.11,30.84715624
326,252.31,146.25,50.60064364
331,246.83,143.3,52.5035974
336,275.07,159.48,51.331488199999995
341,297.16,174.8,47.401475
346,213.74,154.79,40.14818748
351,213.5,154.61,45.939785879999995
356,277.19,160.7,63.14221208
361,218.23,140.75,55.50971276
366,214.9,155.63,52.20022796
371,218.85,158.49,30.219733079999997
376,376.0,214.6,31.971002119999998
379,500.0,140.0,67.568648
