,TRB,TOV,PTS
23,1.3,0.4,3.9
27,4.6,0.9,3.7
32,4.5,1.0,15.0
40,3.8,0.6,6.1
47,3.3,1.2,11.1
51,3.1,0.9,6.4
67,1.4,0.5,6.5
88,4.1,0.4,4.6
90,2.0,0.0,0.0
91,4.1,0.6,7.1
94,6.8,0.7,12.1
98,0.0,0.0,0.0
119,1.8,0.3,3.1
124,1.1,0.4,3.4
133,3.5,0.7,6.0
139,6.1,3.2,29.4
141,12.5,2.2,25.9
143,2.2,0.8,6.7
149,0.4,0.3,1.5
151,2.3,0.4,2.7
159,4.5,1.6,9.4
166,0.9,0.3,1.4
182,2.1,0.4,3.9
183,0.5,0.1,1.5
198,4.2,2.5,25.0
200,4.2,0.7,5.5
206,6.1,3.1,23.8
217,1.7,1.0,11.0
227,7.2,2.8,8.5
229,3.6,0.9,6.4
238,4.7,0.5,9.6
277,1.9,0.3,3.1
283,3.3,1.3,15.2
288,3.5,1.1,10.8
290,2.1,1.1,2.1
304,2.2,1.8,10.9
306,8.3,3.2,28.9
307,1.7,0.7,6.9
321,2.5,0.4,2.5
338,2.4,0.9,7.8
354,3.4,1.4,9.9
356,3.5,0.9,6.7
368,2.3,0.6,1.7
369,6.5,1.7,23.8
377,9.3,0.5,7.0
384,4.1,0.9,7.6
389,3.4,1.0,8.8
420,3.0,0.5,4.9
426,1.3,0.8,5.6
430,1.0,1.0,1.0
431,2.6,1.9,13.5
432,1.7,0.5,4.8
433,0.8,0.3,1.8
436,4.0,0.9,11.2
444,4.6,0.8,12.2
464,1.4,0.8,6.7
475,1.0,0.2,1.3
487,4.3,0.6,5.7
489,0.7,0.3,2.3
492,6.9,1.3,7.5
497,2.7,3.1,20.4
505,2.9,1.7,17.0
506,1.6,0.7,2.9
511,2.2,0.2,2.4
513,0.8,1.3,2.5
515,3.0,1.5,13.0
521,0.5,0.0,1.0
536,1.0,1.3,1.9
545,2.9,2.3,17.4
547,1.2,0.3,3.9
549,12.3,2.9,19.1
557,2.5,1.7,12.6
588,1.0,0.0,1.3
598,4.1,1.8,21.9
607,2.0,0.6,2.7
617,6.7,1.1,7.2
629,1.9,0.8,11.7
630,2.7,2.4,11.4
643,6.2,3.5,15.9
644,4.9,3.4,15.8
650,5.0,1.3,17.1
668,3.5,0.7,6.9
678,9.9,1.5,10.8
