,date,symbol,close
801267,2016-08-10,AAPL,108.0
801767,2016-08-11,AAPL,107.93
802267,2016-08-12,AAPL,108.18
802767,2016-08-15,AAPL,109.480003
803267,2016-08-16,AAPL,109.379997
803767,2016-08-17,AAPL,109.220001
804267,2016-08-18,AAPL,109.080002
804767,2016-08-19,AAPL,109.360001
805267,2016-08-22,AAPL,108.510002
805767,2016-08-23,AAPL,108.849998
806267,2016-08-24,AAPL,108.029999
806767,2016-08-25,AAPL,107.57
807267,2016-08-26,AAPL,106.940002
807767,2016-08-29,AAPL,106.82
808267,2016-08-30,AAPL,106.0
808767,2016-08-31,AAPL,106.099998
809267,2016-09-01,AAPL,106.730003
809767,2016-09-02,AAPL,107.730003
810267,2016-09-06,AAPL,107.699997
810767,2016-09-07,AAPL,108.360001
811267,2016-09-08,AAPL,105.519997
811767,2016-09-09,AAPL,103.129997
812267,2016-09-12,AAPL,105.440002
812767,2016-09-13,AAPL,107.949997
813267,2016-09-14,AAPL,111.769997
813767,2016-09-15,AAPL,115.57
814267,2016-09-16,AAPL,114.919998
814767,2016-09-19,AAPL,113.580002
815267,2016-09-20,AAPL,113.57
815767,2016-09-21,AAPL,113.550003
816267,2016-09-22,AAPL,114.620003
816767,2016-09-23,AAPL,112.709999
817267,2016-09-26,AAPL,112.879997
817767,2016-09-27,AAPL,113.089996
818267,2016-09-28,AAPL,113.949997
818767,2016-09-29,AAPL,112.18
819267,2016-09-30,AAPL,113.050003
819767,2016-10-03,AAPL,112.519997
820267,2016-10-04,AAPL,113.0
820767,2016-10-05,AAPL,113.050003
821267,2016-10-06,AAPL,113.889999
821767,2016-10-07,AAPL,114.059998
822267,2016-10-10,AAPL,116.050003
822767,2016-10-11,AAPL,116.300003
823267,2016-10-12,AAPL,117.339996
823767,2016-10-13,AAPL,116.980003
824267,2016-10-14,AAPL,117.629997
824767,2016-10-17,AAPL,117.550003
825267,2016-10-18,AAPL,117.470001
825767,2016-10-19,AAPL,117.120003
826267,2016-10-20,AAPL,117.059998
826767,2016-10-21,AAPL,116.599998
827267,2016-10-24,AAPL,117.650002
827767,2016-10-25,AAPL,118.25
828267,2016-10-26,AAPL,115.589996
828767,2016-10-27,AAPL,114.480003
829267,2016-10-28,AAPL,113.720001
829767,2016-10-31,AAPL,113.540001
830267,2016-11-01,AAPL,111.489998
830767,2016-11-02,AAPL,111.589996
831267,2016-11-03,AAPL,109.830002
831767,2016-11-04,AAPL,108.839996
832267,2016-11-07,AAPL,110.410004
832767,2016-11-08,AAPL,111.059998
833267,2016-11-09,AAPL,110.879997
833767,2016-11-10,AAPL,107.790001
834267,2016-11-11,AAPL,108.43
834767,2016-11-14,AAPL,105.709999
835267,2016-11-15,AAPL,107.110001
835767,2016-11-16,AAPL,109.989998
836267,2016-11-17,AAPL,109.949997
836767,2016-11-18,AAPL,110.059998
