,name,energy,loudness,acousticness
0,Good 4 U Olivia Rodrigo,0.664,-5.044,0.335
1,Stay The Kid LAROI & Justin Bieber,0.506,-11.275,0.379
2,Levitating Dua Lipa feat. DaBaby,0.825,-3.787,0.00883
3,Peaches Justin Bieber feat. Daniel Caesar & Giveon,0.696,-6.181,0.321
4,Montero (Call Me By Your Name) Lil Nas X,0.503,-6.725,0.293
5,Kiss Me More (feat. SZA) Doja Cat,0.705,-3.463,0.259
6,Leave The Door Open Silk Sonic (Bruno Mars & Anderson .Paak),0.616,-7.964,0.182
7,drivers license Olivia Rodrigo,0.431,-8.81,0.768
8,Blinding Lights The Weeknd,0.73,-5.934,0.00146
9,Deja Vu Olivia Rodrigo,0.612,-7.222,0.584
10,The Business Tiësto,0.62,-7.079,0.414
11,Astronaut In The Ocean Masked Wolf,0.695,-6.865,0.175
12,Rapstar Polo G,0.536,-6.862,0.41
13,Beautiful Mistakes (feat. Megan Thee Stallion) Maroon 5,0.676,-5.483,0.0377
14,Heartbreak Anniversary Giveon,0.459,-8.955,0.546
15,Heat Waves Glass Animals,0.525,-6.9,0.44
16,Without You (with Miley Cyrus) The Kid LAROI & Miley Cyrus,0.42,-7.98,0.834
17,Mood (feat. iann dior) 24kGoldn,0.716,-3.671,0.174
18,"Fiel Los Legendarios, Wisin & Jhay Cortez",0.43,-7.477,0.735
19,Watermelon Sugar Harry Styles,0.816,-4.209,0.122
20,Arcade Duncan Laurence,0.329,-12.603,0.818
21,Mood Swings (feat. Lil Tjay) Pop Smoke,0.602,-6.335,0.487
22,Levitating (feat. DaBaby) Dua Lipa,0.825,-3.787,0.00883
23,Todo De Ti Rauw Alejandro,0.718,-3.605,0.31
24,Beggin' Måneskin,0.8,-4.808,0.127
25,"Me Gusta Anitta, Cardi B & Myke Towers",0.604,-4.392,0.448
26,Famous Friends Chris Young + Kane Brown,0.513,-8.619,0.101
27,Forever After All Luke Combs,0.65,-5.195,0.191
28,LA CANCIÓN J Balvin & Bad Bunny,0.646,-5.795,0.152
29,Someone You Loved Lewis Capaldi,0.405,-5.679,0.751
30,Need To Know Doja Cat,0.609,-6.509,0.304
31,Blinding Lights - 2019 The Weeknd,0.517,-11.58,0.0015
